ID	Name	Level	Type	MaxNum	Quality	AutoSell	Use	BuyPrice	GoldPrice	GongDe	Recovery	Desc	Legend	Icon	MinAttack	MaxAttack	MinDefence	MaxDefence	MinWAttack	MaxWAttack	MinMAttack	MaxMAttack	MinGAttack	MaxGAttack	MinPAttack	MaxPAttack	MinDodge	MaxDodge	MinBang	MaxBang	MinASpeed	MaxASpeed	MinMSpeed	MaxMSpeed	MinAntiMine	MaxAntiMine	Body	Soul	UseLimit
50	7品破阵符	1	4	99	7		1					使用后减少破阵时间32小时		144	1920																								
51	8品破阵符	1	4	99	8		1					使用后减少破阵时间64小时		145	3840																								
52	9品破阵符	1	4	99	9		1					使用后减少破阵时间128小时		146	7680																								
54	1品乾坤玉	1	5	99999	1		1	1				使用后增加1点声望		147	1																								
55	2品乾坤玉	1	5	99999	2		1	10				使用后增加10点声望		148	10																								
56	3品乾坤玉	1	5	99999	3		1	100				使用后增加100点声望		149	100																								
57	4品乾坤玉	1	5	99999	4		1		10	100		使用后增加1000点声望		150	1000																								
58	5品乾坤玉	1	5	99999	5		1		100	1000		使用后增加10000点声望		151	10000																								
59	食物	1	6	9999	1		1					使用后增加1点食物		169	1																								
60	木材	1	7	9999	1		1					使用后增加1点木材		170	1																								
61	灵草	1	8	9999	1		1					使用后增加1点灵草		171	1																								
62	玄铁	1	9	9999	1		1					使用后增加1点玄铁		172	1																								
63	食物堆	1	6	99	1		1		1	10		使用后增加1000点食物		169	1000																								
64	木材堆	1	7	99	1		1		2	20		使用后增加1000点木材		170	1000																								
65	灵草堆	1	8	99	1		1		4	40		使用后增加1000点灵草		171	1000																								
66	玄铁堆	1	9	99	1		1		4	40		使用后增加1000点玄铁		172	1000																								
67	灵石袋	1	3	99	1		1		1	10		使用后增加100点灵石		174	100																								
68	空冥石	1	28	999	1		1				1	一种重要的炼器材料，除了炼制装备以外，还是炼制储物法宝的重要材料。		175																									
69	金岭砂	1	28	999	1		1				1	一种炼器材料。		176																									
70	陨母	1	28	999	1		1				1	一种炼器材料。		177																									
71	清灵草	1	15	999	1		1				1	一种炼丹材料。		178																									
72	千年人参	1	15	999	1		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		220																									
73	千年何首乌	1	15	999	3		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		221																									
74	血精草	1	15	999	4		1				1	一种炼丹材料，盛产于幽冥之地。		222																									
75	太玄果	1	15	999	5		1				1	一种炼丹材料，盛产于大雪山。		223																									
76	天魂菊	1	15	999	6		1				1	一种炼丹材料。		224																									
77	伴妖草	1	15	999	7		1				1	一种炼丹材料，妖气冲天之地，此草方可存活。		225																									
78	鬼滕花	1	15	999	8		1				1	一种炼丹材料，极难自行培育。		226																									
79	千年虫草	1	15	999	2		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		227																									
80	三品炼丹炉	1	16	1	3		1	8000			1	由帮派内其他炼器师炼制而成的初级炼丹炉，成丹概率较低。由于不是自己炼制，无法成为本命法宝。使用后丹炉出现在自身炼丹房里。		294																									
81	大灵石袋	1	3	99	1		1		10	100		使用后增加1000点灵石		174	1000																								
82	一品炼丹炉	1	16	1	1		1	1000			1	一品炼丹炉，成丹速度快，但是炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		292																									
83	二品炼丹炉	1	16	1	2		1	5000			1	二品炼丹炉，成丹速度快，但是炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		293																									
84	四品炼丹炉	1	16	1	4		1	10000			1	四品炼丹炉，炼制2年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		295																									
85	五品炼丹炉	1	16	1	5		1		50	500	1	五品炼丹炉，炼制4年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		296																									
86	六品炼丹炉	1	16	1	6		1		80	800	1	六品炼丹炉，炼制8年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		297																									
87	七品炼丹炉	1	16	1	7		1		100	1000	1	七品炼丹炉，炼制16年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		298																									
88	八品炼丹炉	1	16	1	8		1		120	1200	1	八品炼丹炉，炼制32年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		299																									
89	九品炼丹炉	1	16	1	9		1		150	1500	1	九品炼丹炉，炼制96年可成丹，专为炼制仙丹准备的。使用后丹炉出现在自身炼丹房里。		300																									
90	一品炼器炉	1	22	1	1		1	1000			1	一品炼器炉，可炼制下品法器，使用后炼器炉出现在自身炼器室里。		301																									
91	二品炼器炉	1	22	1	2		1	2000			1	二品炼器炉，可炼制中品法器，使用后炼器炉出现在自身炼器室里。		302																									
92	三品炼器炉	1	22	1	3		1	8000			1	三品炼器炉，可炼制上品法器，使用后炼器炉出现在自身炼器室里。		303																									
93	四品炼器炉	1	22	1	4		1	10000			1	四品炼器炉，可炼制下品法宝，使用后炼器炉出现在自身炼器室里。		304																									
94	五品炼器炉	1	22	1	5		1		50	500	1	五品炼器炉，可炼制中品法宝，使用后炼器炉出现在自身炼器室里。		305																									
95	六品炼器炉	1	22	1	6		1		80	800	1	六品炼器炉，可炼制上品法宝，使用后炼器炉出现在自身炼器室里。		306																									
96	七品炼器炉	1	22	1	7		1		100	1000	1	七品炼器炉，可炼制下品灵宝，使用后炼器炉出现在自身炼器室里。		307																									
97	八品炼器炉	1	22	1	8		1		120	1200	1	八品炼器炉，可炼制中品灵宝，使用后炼器炉出现在自身炼器室里。		308																									
98	九品炼器炉	1	22	1	9		1		150	1500	1	九品炼器炉，可炼制上品灵宝，使用后炼器炉出现在自身炼器室里。		309																									
99	玄星石	1	28	999	3		1				1	一种炼器材料。		310																									
100	蓝晶石	1	28	999	4		1				1	一种炼器材料。		311																									
101	青精石	1	28	999	5		1				1	一种炼器材料。		312																									
102	黑曜石	1	28	999	6		1				1	一种炼器材料。		313																									
103	万年铁精	1	28	999	7		1				1	一种炼器材料。		314																									
104	月冥石	1	28	999	8		1				1	一种非常珍贵的炼器材料，是炼制本命法宝的主材。		315																									
105	忘忧草	1	15	999	3		1				1	一种炼丹材料，是炼制养魂丹的主药。		318																									
106	醉龙草	1	15	999	4		1				1	一种炼丹材料。		320																									
107	活气果	1	15	999	5		1				1	一种炼丹材料。		321																									
108	阴神花	1	15	999	6		1				1	一种炼丹材料。		323																									
109	往生莲	1	15	999	8		1				1	一种非常珍贵的炼丹材料，是炼制七转金丹的主药。		326																									
110	二品洗髓丹	1	19	99	2		1		6	60	1	永久增加20点攻击，此枚丹药服用超过50颗会产生丹毒。		115	20	20																							50
111	二品浑天丹	1	19	99	2		1		6	60	1	永久增加20点防御，此枚丹药服用超过50颗会产生丹毒。		116			20	20																					50
112	二品体魄丹	1	19	99	2		1		6	60	1	永久增加200点生命，此枚丹药服用超过50颗会产生丹毒。		117																							200		50
113	二品灵动丹	1	19	99	2		1		6	60	1	永久增加20点闪避，此枚丹药服用超过50颗会产生丹毒。		118													20	20											50
114	二品血煞丹	1	19	99	2		1		6	60	1	永久增加20点暴击，此枚丹药服用超过50颗会产生丹毒。		119															20	20									50
115	二品雷元丹	1	19	99	2		1		6	60	1	永久增加20点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					20	20			50
116	二品风行丹	1	19	99	2		1		6	60	1	永久增加20点速度，此枚丹药服用超过50颗会产生丹毒。		121																	20	20							50
117	二品天罡丹	1	19	99	2		1		6	60	1	永久增加20点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									20	20															50
118	二品镇妖丹	1	19	99	2		1		6	60	1	永久增加20点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					20	20																			50
119	三品洗髓丹	1	19	99	3		1		9	90	1	永久增加30点攻击，此枚丹药服用超过50颗会产生丹毒。		115	30	30																							50
120	三品浑天丹	1	19	99	3		1		9	90	1	永久增加30点防御，此枚丹药服用超过50颗会产生丹毒。		116			30	30																					50
121	三品体魄丹	1	19	99	3		1		9	90	1	永久增加300点生命，此枚丹药服用超过50颗会产生丹毒。		117																							300		50
122	三品灵动丹	1	19	99	3		1		9	90	1	永久增加30点闪避，此枚丹药服用超过50颗会产生丹毒。		118													30	30											50
123	三品血煞丹	1	19	99	3		1		9	90	1	永久增加30点暴击，此枚丹药服用超过50颗会产生丹毒。		119															30	30									50
124	三品雷元丹	1	19	99	3		1		9	90	1	永久增加30点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					30	30			50
125	三品风行丹	1	19	99	3		1		9	90	1	永久增加30点速度，此枚丹药服用超过50颗会产生丹毒。		121																	30	30							50
126	三品天罡丹	1	19	99	3		1		9	90	1	永久增加30点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									30	30															50
127	三品镇妖丹	1	19	99	3		1		9	90	1	永久增加30点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					30	30																			50
128	四品洗髓丹	1	19	99	4		1		12	120	1	永久增加40点攻击，此枚丹药服用超过50颗会产生丹毒。		115	40	40																							50
129	四品浑天丹	1	19	99	4		1		12	120	1	永久增加40点防御，此枚丹药服用超过50颗会产生丹毒。		116			40	40																					50
130	四品体魄丹	1	19	99	4		1		12	120	1	永久增加400点生命，此枚丹药服用超过50颗会产生丹毒。		117																							400		50
131	四品灵动丹	1	19	99	4		1		12	120	1	永久增加40点闪避，此枚丹药服用超过50颗会产生丹毒。		118													40	40											50
132	四品血煞丹	1	19	99	4		1		12	120	1	永久增加40点暴击，此枚丹药服用超过50颗会产生丹毒。		119															40	40									50
133	四品雷元丹	1	19	99	4		1		12	120	1	永久增加40点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					40	40			50
134	四品风行丹	1	19	99	4		1		12	120	1	永久增加40点速度，此枚丹药服用超过50颗会产生丹毒。		121																	40	40							50
135	四品天罡丹	1	19	99	4		1		12	120	1	永久增加40点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									40	40															50
136	四品镇妖丹	1	19	99	4		1		12	120	1	永久增加40点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					40	40																			50
137	五品洗髓丹	1	19	99	5		1		15	150	1	永久增加50点攻击，此枚丹药服用超过50颗会产生丹毒。		115	50	50																							50
138	五品浑天丹	1	19	99	5		1		15	150	1	永久增加50点防御，此枚丹药服用超过50颗会产生丹毒。		116			50	50																					50
139	五品体魄丹	1	19	99	5		1		15	150	1	永久增加500点生命，此枚丹药服用超过50颗会产生丹毒。		117																							500		50
140	五品灵动丹	1	19	99	5		1		15	150	1	永久增加50点闪避，此枚丹药服用超过50颗会产生丹毒。		118													50	50											50
141	五品血煞丹	1	19	99	5		1		15	150	1	永久增加50点暴击，此枚丹药服用超过50颗会产生丹毒。		119															50	50									50
142	五品雷元丹	1	19	99	5		1		15	150	1	永久增加50点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					50	50			50
143	五品风行丹	1	19	99	5		1		15	150	1	永久增加50点速度，此枚丹药服用超过50颗会产生丹毒。		121																	50	50							50
144	五品天罡丹	1	19	99	5		1		15	150	1	永久增加50点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									50	50															50
145	五品镇妖丹	1	19	99	5		1		15	150	1	永久增加50点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					50	50																			50
146	六品洗髓丹	1	19	99	6		1		18	180	1	永久增加60点攻击，此枚丹药服用超过50颗会产生丹毒。		115	60	60																							50
147	六品浑天丹	1	19	99	6		1		18	180	1	永久增加60点防御，此枚丹药服用超过50颗会产生丹毒。		116			60	60																					50
148	六品体魄丹	1	19	99	6		1		18	180	1	永久增加600点生命，此枚丹药服用超过50颗会产生丹毒。		117																							600		50
149	六品灵动丹	1	19	99	6		1		18	180	1	永久增加60点闪避，此枚丹药服用超过50颗会产生丹毒。		118													60	60											50
150	六品血煞丹	1	19	99	6		1		18	180	1	永久增加60点暴击，此枚丹药服用超过50颗会产生丹毒。		119															60	60									50
151	六品雷元丹	1	19	99	6		1		18	180	1	永久增加60点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					60	60			50
152	六品风行丹	1	19	99	6		1		18	180	1	永久增加60点速度，此枚丹药服用超过50颗会产生丹毒。		121																	60	60							50
153	六品天罡丹	1	19	99	6		1		18	180	1	永久增加60点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									60	60															50
154	六品镇妖丹	1	19	99	6		1		18	180	1	永久增加60点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					60	60																			50
155	七品洗髓丹	1	19	99	7		1		21	210	1	永久增加70点攻击，此枚丹药服用超过50颗会产生丹毒。		115	70	70																							50
156	七品浑天丹	1	19	99	7		1		21	210	1	永久增加70点防御，此枚丹药服用超过50颗会产生丹毒。		116			70	70																					50
157	七品体魄丹	1	19	99	7		1		21	210	1	永久增加700点生命，此枚丹药服用超过50颗会产生丹毒。		117																							700		50
158	七品灵动丹	1	19	99	7		1		21	210	1	永久增加70点闪避，此枚丹药服用超过50颗会产生丹毒。		118													70	70											50
159	七品血煞丹	1	19	99	7		1		21	210	1	永久增加70点暴击，此枚丹药服用超过50颗会产生丹毒。		119															70	70									50
160	七品雷元丹	1	19	99	7		1		21	210	1	永久增加70点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					70	70			50
161	七品风行丹	1	19	99	7		1		21	210	1	永久增加70点速度，此枚丹药服用超过50颗会产生丹毒。		121																	70	70							50
162	七品天罡丹	1	19	99	7		1		21	210	1	永久增加70点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									70	70															50
163	七品镇妖丹	1	19	99	7		1		21	210	1	永久增加70点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					70	70																			50
164	八品洗髓丹	1	19	99	8		1		24	240	1	永久增加80点攻击，此枚丹药服用超过50颗会产生丹毒。		115	80	80																							50
165	八品浑天丹	1	19	99	8		1		24	240	1	永久增加80点防御，此枚丹药服用超过50颗会产生丹毒。		116			80	80																					50
166	八品体魄丹	1	19	99	8		1		24	240	1	永久增加800点生命，此枚丹药服用超过50颗会产生丹毒。		117																							800		50
167	八品灵动丹	1	19	99	8		1		24	240	1	永久增加80点闪避，此枚丹药服用超过50颗会产生丹毒。		118													80	80											50
168	八品血煞丹	1	19	99	8		1		24	240	1	永久增加80点暴击，此枚丹药服用超过50颗会产生丹毒。		119															80	80									50
169	八品雷元丹	1	19	99	8		1		24	240	1	永久增加80点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					80	80			50
170	八品风行丹	1	19	99	8		1		24	240	1	永久增加80点速度，此枚丹药服用超过50颗会产生丹毒。		121																	80	80							50
171	八品天罡丹	1	19	99	8		1		24	240	1	永久增加80点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									80	80															50
172	八品镇妖丹	1	19	99	8		1		24	240	1	永久增加80点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					80	80																			50
173	九品洗髓丹	1	19	99	9		1		27	270	1	永久增加90点攻击，此枚丹药服用超过50颗会产生丹毒。		115	90	90																							50
174	九品浑天丹	1	19	99	9		1		27	270	1	永久增加90点防御，此枚丹药服用超过50颗会产生丹毒。		116			90	90																					50
175	九品体魄丹	1	19	99	9		1		27	270	1	永久增加900点生命，此枚丹药服用超过50颗会产生丹毒。		117																							900		50
176	九品灵动丹	1	19	99	9		1		27	270	1	永久增加90点闪避，此枚丹药服用超过50颗会产生丹毒。		118													90	90											50
177	九品血煞丹	1	19	99	9		1		27	270	1	永久增加90点暴击，此枚丹药服用超过50颗会产生丹毒。		119															90	90									50
178	九品雷元丹	1	19	99	9		1		27	270	1	永久增加90点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					90	90			50
179	九品风行丹	1	19	99	9		1		27	270	1	永久增加90点速度，此枚丹药服用超过50颗会产生丹毒。		121																	90	90							50
180	九品天罡丹	1	19	99	9		1		27	270	1	永久增加90点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									90	90															50
181	九品镇妖丹	1	19	99	9		1		27	270	1	永久增加90点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					90	90																			50
182	超大灵石袋	1	3	99	5		1		100	1000		使用后增加10000点灵石		174	10000																								
183	炼器心得	1	24	9999	1		1					增加1点炼器经验		329	1																								
184	炼丹心得	1	25	9999	1		1					增加1点炼丹经验		329	1																								
185	双修心得	1	2	9999	3		1					增加10000点修为		329	10000																								
186	灵草培育术卷一	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
187	灵草培育术卷二	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
188	灵草培育术卷三	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
189	灵草培育术卷四	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
190	灵草培育术卷五	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
191	灵草培育术卷六	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
192	灵草培育术卷七	1	28	999	7		1				10	齐集七卷，可以在洞府开辟第一块灵药园，培育稀有灵草！		163																									
193	本命法宝炼制卷一	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
194	本命法宝炼制卷二	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
195	本命法宝炼制卷三	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
196	本命法宝炼制卷四	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
197	本命法宝炼制卷五	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
198	本命法宝炼制卷六	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
199	本命法宝炼制卷七	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
200	本命法宝炼制卷八	1	28	999	7		1				10	齐集八卷，可掌握本命法宝炼制方法！本命法宝可无限升级，最多持有一个。		163																									
201	筑基丹丹方	1	17	99	3		1	2000			1	筑基丹丹方		163	1																								
202	金元丹丹方	1	17	99	3		1	4000			1	金元丹丹方		163	2																								
203	元婴丹丹方	1	17	99	3		1	6000			1	元婴丹丹方		163	3																								
204	出窍丹丹方	1	17	99	4		1	10000			1	出窍丹丹方		163	4																								
205	分神丹丹方	1	17	99	4		1	20000			1	分神丹丹方		163	5																								
206	合体丹丹方	1	17	99	4		1	30000			1	合体丹丹方		163	6																								
207	洞虚丹丹方	1	17	99	5		1	40000			1	洞虚丹丹方		163	7																								
208	大乘丹丹方	1	17	99	5		1	60000			1	大乘丹丹方		163	8																								
209	洞真丹丹方	1	17	99	5		1	80000			1	洞真丹丹方		163	9																								
210	一品仙丹丹方	1	17	99	6		1				1	一品仙丹丹方		163	10																								
211	二品仙丹丹方	1	17	99	6		1				1	二品仙丹丹方		163	11																								
212	三品仙丹丹方	1	17	99	6		1				1	三品仙丹丹方		163	12																								
213	四品仙丹丹方	1	17	99	7		1				1	四品仙丹丹方		163	13																								
214	五品仙丹丹方	1	17	99	7		1				1	五品仙丹丹方		163	14																								
215	六品仙丹丹方	1	17	99	7		1				1	六品仙丹丹方		163	15																								
219	一品洗髓丹丹方	1	17	99	1		1	5000			1	一品洗髓丹丹方		163	23																								
220	一品浑天丹丹方	1	17	99	1		1	5000			1	一品浑天丹丹方		163	24																								
221	一品体魄丹丹方	1	17	99	1		1	5000			1	一品体魄丹丹方		163	25																								
222	一品灵动丹丹方	1	17	99	1		1	5000			1	一品灵动丹丹方		163	26																								
223	一品血煞丹丹方	1	17	99	1		1	5000			1	一品血煞丹丹方		163	27																								
224	一品雷元丹丹方	1	17	99	1		1	5000			1	一品雷元丹丹方		163	28																								
225	一品风行丹丹方	1	17	99	1		1	5000			1	一品风行丹丹方		163	29																								
226	一品天罡丹丹方	1	17	99	1		1	5000			1	一品天罡丹丹方		163	30																								
227	一品镇妖丹丹方	1	17	99	1		1	5000			1	一品镇妖丹丹方		163	31																								
228	一转金丹丹方	1	17	999	1		1		1	10	1	一转金丹丹方		163	16																								
229	二转金丹丹方	1	17	999	2		1		2	20	1	二转金丹丹方		163	17																								
230	三转金丹丹方	1	17	999	3		1		10	100	1	三转金丹丹方		163	18																								
231	四转金丹丹方	1	17	999	4		1		20	200	1	四转金丹丹方		163	19																								
232	五转金丹丹方	1	17	999	5		1		100	1000	1	五转金丹丹方		163	20																								
233	六转金丹丹方	1	17	999	6		1		200	2000	1	六转金丹丹方		163	21																								
234	七转金丹丹方	1	17	999	7		1		500	5000	1	七转金丹丹方		163	22																								
235	八转金丹丹方	1	17	999	8		1				1	八转金丹丹方		163																									
236	九转金丹丹方	1	17	999	9		1				1	九转金丹丹方		163																									
237	七转金丹卷一	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
238	七转金丹卷二	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
239	七转金丹卷三	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
240	七转金丹卷四	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
241	七转金丹卷五	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
242	七转金丹卷六	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
243	七转金丹卷七	1	28	999	7		1				10	齐集七卷，可以得到七转金丹丹方，炼制七转金丹！		163																									
244	阴阳双修诀卷一	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
245	阴阳双修诀卷二	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
246	阴阳双修诀卷三	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
247	阴阳双修诀卷四	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
248	阴阳双修诀卷五	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
249	阴阳双修诀卷六	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
250	阴阳双修诀卷七	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
251	阴阳双修诀卷八	1	28	999	7		1				10	齐集八卷，可以得到阴阳双修诀，与道侣双修加速修炼！		163																									
252	五行聚灵阵卷一	1	28	999	7		1				10	齐集七卷，可以得到五行聚灵阵图，使用灵气收集聚成灵石！		163																									
